Reduced Cell Formula,Working Ion,nZn_max,nAl_max,nMg_max,nK_max,nLi_max,n_alkaline_earth_metals,n_lanthanoids,n_metalloids,n_post_transition_metals,n_reactive_nonmetals,n_transition_metals,n_alkali_metals,n_actinoids,nBe,nSr,nBa,nCa,nPr,nHo,nCe,nTb,nGd,nLa,nLu,nNd,nSi,nGe,nTe,nSb,nAs,nSn,nBi,nGa,nO,nP,nS,nF,nI,nSe,nN,nH,nCl,nBr,nCu,nV,nFe,nTi,nCr,nMn,nNi,nCo,nW,nMo,nTa,nNb,nZr,nSc,nRe,nIr,nAg,nTc,nY,nNa,nLi,nRb,nCs,nU,Average Voltage,V_level_overall,Capacity Grav,C_grav_level_overall,Capacity Vol,C_vol_level_overall,Specific E Wh/kg,specific_e_level_overall,E Density Wh/l,e_density_level_overall,Working_Ion_Number,Working_Ion
ZnCr(Si2O5)2,Zn,1,,,,,0,0,4,0,19,1,0,0,,,,,,,,,,,,,4,,,,,,,,19,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1.82,Mid,138,Mid,442,Mid,250,Mid,802,Mid,1,Zn
ZnCr(GeO3)2,Zn,1,,,,,0,0,2,0,6,1,0,0,,,,,,,,,,,,,,2,,,,,,,6,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1.08,Mid,149,Mid,716,Mid,162,Mid,776,Mid,1,Zn
ZnCo4(CuO4)3,Zn,1,,,,,0,0,0,0,12,7,0,0,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,3,,,,,,,4,,,,,,,,,,,,,,,,,1.56,Mid,78,Mid,474,Mid,122,Mid,737,Mid,1,Zn
ZnCo3(P2O7)2,Zn,1,,,,,0,0,0,0,18,3,0,0,,,,,,,,,,,,,,,,,,,,,14,4,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1.47,Mid,91,Mid,365,Mid,134,Mid,537,Mid,1,Zn
ZnCo3(AsO4)4,Zn,1,,,,,0,0,4,0,16,3,0,0,,,,,,,,,,,,,,,,,4,,,,16,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,2.42,Mid,173,Mid,800,Mid,420,Mid,1940,Mid,1,Zn
ZnCo(SiO3)2,Zn,1,,,,,0,0,2,0,6,1,0,0,,,,,,,,,,,,,2,,,,,,,,6,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2.12,Mid,194,Mid,784,Mid,411,Mid,1662,Mid,1,Zn
ZnCo(Si2O5)2,Zn,1,,,,,0,0,4,0,10,1,0,0,,,,,,,,,,,,,4,,,,,,,,10,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1.81,Mid,135,Mid,446,Mid,245,Mid,809,Mid,1,Zn
ZnCo(GeO3)2,Zn,1,,,,,0,0,2,0,6,1,0,0,,,,,,,,,,,,,,2,,,,,,,6,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2.22,Mid,147,Mid,734,Mid,325,Mid,1626,Mid,1,Zn
ZnBaTl(CoO3)2,Zn,1,,,,,1,0,0,0,6,3,0,0,,,1,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,1.14,Mid,123,Mid,874,Mid,141,Mid,1000,Mid,1,Zn
ZnBa(WO2)4,Zn,1,,,,,1,0,0,0,8,4,0,0,,,1,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,-0.25,Low,50,Mid,423,Mid,-13,Low,-108,Low,1,Zn
